# SA for random K-SAT
# K = 4   N = 1024   M = 10240   seed = 3778745169
# alpha = 10.000000   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
20 512
23 512
30 512
23 512
24 512
21 512
30 512
20 512
21 512
28 512
24 512
23 512
19 512
14 512
20 512
15 512
23 512
26 512
19 512
29 512
21 512
17 512
24 512
22 512
27 512
20 512
19 512
20 512
22 512
19 512
19 512
31 512
29 512
22 512
27 512
19 512
22 512
20 512
26 512
16 512
21 512
20 512
26 512
24 512
23 512
26 512
21 512
25 512
29 512
20 512
20 512
23 512
31 512
26 512
26 512
27 512
23 512
18 512
24 512
21 512
17 512
21 512
31 512
24 512
18 512
22 512
26 512
18 512
25 512
23 512
26 512
17 512
19 512
25 512
25 512
22 512
19 512
21 512
23 512
20 512
20 512
21 512
20 512
20 512
23 512
20 512
23 512
17 512
20 512
28 512
21 512
20 512
26 512
21 512
23 512
27 512
22 512
30 512
24 512
22 512
26 512
19 512
19 512
26 512
22 512
18 512
30 512
27 512
32 512
19 512
22 512
15 512
28 512
27 512
23 512
17 512
26 512
22 512
26 512
27 512
22 512
23 512
17 512
25 512
24 512
24 512
17 512
18 512
28 512
24 512
21 512
22 512
21 512
23 512
23 512
25 512
23 512
29 512
17 512
18 512
17 512
18 512
22 512
25 512
28 512
15 512
25 512
19 512
22 512
23 512
25 512
19 512
21 512
25 512
17 512
22 512
22 512
23 512
20 512
23 512
27 512
23 512
16 512
27 512
21 512
21 512
26 512
28 512
20 512
21 512
25 512
26 512
19 512
28 512
28 512
23 512
18 512
30 512
19 512
21 512
29 512
21 512
27 512
22 512
24 512
21 512
26 512
22 512
27 512
24 512
25 512
21 512
25 512
21 512
33 512
32 512
31 512
24 512
29 512
25 512
28 512
21 512
26 512
14 512
15 512
18 512
27 512
20 512
23 512
17 512
33 512
24 512
20 512
22 512
22 512
21 512
22 512
30 512
25 512
27 512
30 512
25 512
25 512
18 512
24 512
26 512
23 512
23 512
22 512
22 512
16 512
19 512
24 512
24 512
26 512
21 512
26 512
21 512
24 512
23 512
29 512
25 512
25 512
22 512
19 512
21 512
27 512
17 512
15 512
24 512
27 512
18 512
21 512
24 512
27 512
24 512
20 512
20 512
22 512
28 512
24 512
20 512
24 512
20 512
18 512
16 512
18 512
31 512
27 512
22 512
27 512
20 512
23 512
26 512
23 512
24 512
22 512
21 512
20 512
25 512
30 512
29 512
24 512
19 512
17 512
28 512
19 512
24 512
19 512
14 512
20 512
26 512
17 512
20 512
12 512
28 512
19 512
27 512
19 512
22 512
25 512
20 512
25 512
25 512
20 512
32 512
26 512
25 512
15 512
22 512
24 512
23 512
27 512
22 512
24 512
26 512
25 512
20 512
21 512
27 512
27 512
23 512
16 512
27 512
20 512
27 512
26 512
23 512
19 512
30 512
25 512
23 512
26 512
25 512
17 512
26 512
19 512
27 512
20 512
30 512
24 512
24 512
26 512
21 512
18 512
26 512
25 512
25 512
23 512
21 512
14 512
22 512
19 512
26 512
18 512
24 512
22 512
15 512
16 512
19 512
19 512
23 512
26 512
22 512
27 512
24 512
21 512
17 512
24 512
28 512
24 512
13 512
22 512
17 512
23 512
16 512
16 512
27 512
19 512
22 512
19 512
21 512
25 512
21 512
24 512
27 512
18 512
20 512
24 512
27 512
25 512
25 512
19 512
26 512
17 512
25 512
24 512
24 512
25 512
19 512
28 512
28 512
24 512
15 512
21 512
19 512
18 512
24 512
21 512
24 512
22 512
24 512
24 512
22 512
17 512
19 512
21 512
15 512
20 512
23 512
21 512
26 512
23 512
26 512
28 512
22 512
15 512
20 512
30 512
22 512
23 512
17 512
22 512
28 512
26 512
18 512
24 512
26 512
26 512
23 512
30 512
24 512
20 512
26 512
21 512
20 512
22 512
25 512
19 512
22 512
19 512
30 512
28 512
15 512
26 512
18 512
22 512
21 512
18 512
28 512
13 512
21 512
19 512
24 512
28 512
30 512
19 512
25 512
25 512
21 512
23 512
18 512
22 512
19 512
21 512
26 512
21 512
24 512
22 512
28 512
21 512
24 512
24 512
24 512
26 512
22 512
28 512
24 512
25 512
22 512
29 512
23 512
17 512
20 512
17 512
29 512
25 512
22 512
26 512
17 512
12 512
25 512
32 512
22 512
23 512
21 512
25 512
17 512
27 512
28 512
32 512
23 512
24 512
20 512
21 512
21 512
26 512
20 512
25 512
29 512
24 512
23 512
26 512
26 512
22 512
23 512
18 512
18 512
24 512
25 512
20 512
24 512
17 512
21 512
18 512
23 512
25 512
22 512
23 512
27 512
19 512
19 512
18 512
21 512
32 512
21 512
24 512
19 512
29 512
21 512
22 512
18 512
25 512
18 512
20 512
20 512
24 512
22 512
27 512
26 512
25 512
25 512
25 512
26 512
24 512
19 512
23 512
25 512
35 512
28 512
27 512
16 512
19 512
22 512
24 512
17 512
18 512
21 512
16 512
19 512
22 512
21 512
18 512
27 512
19 512
20 512
27 512
25 512
32 512
15 512
29 512
19 512
26 512
18 512
19 512
21 512
24 512
24 512
15 512
20 512
23 512
25 512
15 512
30 512
19 512
24 512
21 512
29 512
25 512
25 512
27 512
27 512
24 512
26 512
26 512
26 512
24 512
25 512
17 512
22 512
22 512
24 512
21 512
24 512
23 512
22 512
17 512
16 512
21 512
20 512
19 512
21 512
19 512
17 512
24 512
27 512
22 512
17 512
26 512
25 512
16 512
24 512
18 512
23 512
21 512
17 512
21 512
25 512
18 512
21 512
30 512
21 512
25 512
20 512
18 512
25 512
24 512
23 512
23 512
30 512
25 512
27 512
26 512
21 512
16 512
21 512
15 512
17 512
25 512
26 512
19 512
22 512
25 512
30 512
16 512
28 512
17 512
22 512
22 512
21 512
18 512
27 512
21 512
25 512
19 512
26 512
26 512
27 512
27 512
35 512
28 512
19 512
27 512
21 512
19 512
24 512
15 512
31 512
24 512
18 512
22 512
24 512
18 512
22 512
32 512
31 512
25 512
19 512
22 512
16 512
23 512
18 512
18 512
22 512
24 512
23 512
18 512
26 512
18 512
20 512
21 512
18 512
22 512
24 512
21 512
26 512
25 512
19 512
21 512
21 512
19 512
20 512
28 512
21 512
18 512
24 512
26 512
26 512
25 512
18 512
20 512
24 512
28 512
22 512
27 512
26 512
21 512
21 512
17 512
28 512
20 512
22 512
16 512
20 512
22 512
24 512
16 512
22 512
24 512
24 512
24 512
18 512
23 512
30 512
23 512
25 512
23 512
25 512
21 512
26 512
28 512
24 512
23 512
26 512
21 512
17 512
17 512
22 512
27 512
24 512
30 512
26 512
21 512
14 512
17 512
25 512
23 512
25 512
20 512
19 512
22 512
20 512
23 512
29 512
17 512
25 512
25 512
28 512
18 512
24 512
20 512
22 512
22 512
17 512
17 512
21 512
27 512
20 512
21 512
22 512
25 512
22 512
18 512
20 512
21 512
21 512
25 512
24 512
27 512
20 512
20 512
26 512
27 512
23 512
22 512
15 512
30 512
19 512
21 512
22 512
20 512
24 512
19 512
25 512
25 512
24 512
27 512
20 512
18 512
27 512
30 512
24 512
19 512
19 512
23 512
21 512
27 512
19 512
26 512
16 512
